Patient,Position,Method,Decoding TW,Accuracy
S14,p1,Kumar,1S,0.6041666666666666
S14,p1,Kumar,1S,0.5972222222222222
S14,p1,Kumar,1S,0.6041666666666666
S14,p1,Kumar,1S,0.5902777777777778
S14,p1,Kumar,1S,0.6041666666666666
S14,p1,Kumar,1S,0.5763888888888888
S14,p1,Kumar,1S,0.5833333333333334
S14,p1,Kumar,1S,0.6111111111111112
S14,p1,Kumar,1S,0.5902777777777778
S14,p1,Kumar,1S,0.5555555555555556
S14,p1,Kumar,0.8S,0.5416666666666666
S14,p1,Kumar,0.8S,0.5763888888888888
S14,p1,Kumar,0.8S,0.5694444444444444
S14,p1,Kumar,0.8S,0.5625
S14,p1,Kumar,0.8S,0.5555555555555556
S14,p1,Kumar,0.8S,0.5486111111111112
S14,p1,Kumar,0.8S,0.5555555555555556
S14,p1,Kumar,0.8S,0.5555555555555556
S14,p1,Kumar,0.8S,0.5902777777777778
S14,p1,Kumar,0.8S,0.5902777777777778
S14,p1,Kumar,0.6S,0.5555555555555556
S14,p1,Kumar,0.6S,0.5486111111111112
S14,p1,Kumar,0.6S,0.5486111111111112
S14,p1,Kumar,0.6S,0.5694444444444444
S14,p1,Kumar,0.6S,0.5347222222222222
S14,p1,Kumar,0.6S,0.5763888888888888
S14,p1,Kumar,0.6S,0.5625
S14,p1,Kumar,0.6S,0.5625
S14,p1,Kumar,0.6S,0.5763888888888888
S14,p1,Kumar,0.6S,0.5625
S14,p1,Kumar,0.4S,0.5416666666666666
S14,p1,Kumar,0.4S,0.5486111111111112
S14,p1,Kumar,0.4S,0.5625
S14,p1,Kumar,0.4S,0.5486111111111112
S14,p1,Kumar,0.4S,0.5972222222222222
S14,p1,Kumar,0.4S,0.5694444444444444
S14,p1,Kumar,0.4S,0.5416666666666666
S14,p1,Kumar,0.4S,0.5555555555555556
S14,p1,Kumar,0.4S,0.5694444444444444
S14,p1,Kumar,0.4S,0.5416666666666666
S14,p1,Kumar,0.2S,0.5
S14,p1,Kumar,0.2S,0.5416666666666666
S14,p1,Kumar,0.2S,0.5208333333333334
S14,p1,Kumar,0.2S,0.5208333333333334
S14,p1,Kumar,0.2S,0.5138888888888888
S14,p1,Kumar,0.2S,0.4861111111111111
S14,p1,Kumar,0.2S,0.4930555555555556
S14,p1,Kumar,0.2S,0.5069444444444444
S14,p1,Kumar,0.2S,0.4791666666666667
S14,p1,Kumar,0.2S,0.5
S14,p1,MFA,1S,0.3716216216216216
S14,p1,MFA,1S,0.40540540540540543
S14,p1,MFA,1S,0.3716216216216216
S14,p1,MFA,1S,0.38513513513513514
S14,p1,MFA,1S,0.3783783783783784
S14,p1,MFA,1S,0.39864864864864863
S14,p1,MFA,1S,0.38513513513513514
S14,p1,MFA,1S,0.3918918918918919
S14,p1,MFA,1S,0.41216216216216217
S14,p1,MFA,1S,0.3918918918918919
S14,p1,MFA,0.8S,0.36486486486486486
S14,p1,MFA,0.8S,0.3581081081081081
S14,p1,MFA,0.8S,0.36486486486486486
S14,p1,MFA,0.8S,0.35135135135135137
S14,p1,MFA,0.8S,0.3581081081081081
S14,p1,MFA,0.8S,0.34459459459459457
S14,p1,MFA,0.8S,0.36486486486486486
S14,p1,MFA,0.8S,0.39864864864864863
S14,p1,MFA,0.8S,0.36486486486486486
S14,p1,MFA,0.8S,0.3581081081081081
S14,p1,MFA,0.6S,0.3918918918918919
S14,p1,MFA,0.6S,0.3716216216216216
S14,p1,MFA,0.6S,0.39864864864864863
S14,p1,MFA,0.6S,0.3716216216216216
S14,p1,MFA,0.6S,0.39864864864864863
S14,p1,MFA,0.6S,0.3581081081081081
S14,p1,MFA,0.6S,0.3918918918918919
S14,p1,MFA,0.6S,0.3716216216216216
S14,p1,MFA,0.6S,0.3918918918918919
S14,p1,MFA,0.6S,0.4189189189189189
S14,p1,MFA,0.4S,0.41216216216216217
S14,p1,MFA,0.4S,0.41216216216216217
S14,p1,MFA,0.4S,0.4189189189189189
S14,p1,MFA,0.4S,0.3716216216216216
S14,p1,MFA,0.4S,0.39864864864864863
S14,p1,MFA,0.4S,0.3918918918918919
S14,p1,MFA,0.4S,0.41216216216216217
S14,p1,MFA,0.4S,0.39864864864864863
S14,p1,MFA,0.4S,0.39864864864864863
S14,p1,MFA,0.4S,0.3783783783783784
S14,p1,MFA,0.2S,0.35135135135135137
S14,p1,MFA,0.2S,0.33783783783783783
S14,p1,MFA,0.2S,0.3716216216216216
S14,p1,MFA,0.2S,0.3716216216216216
S14,p1,MFA,0.2S,0.33783783783783783
S14,p1,MFA,0.2S,0.33783783783783783
S14,p1,MFA,0.2S,0.34459459459459457
S14,p1,MFA,0.2S,0.3310810810810811
S14,p1,MFA,0.2S,0.35135135135135137
S14,p1,MFA,0.2S,0.35135135135135137
S14,p2,Kumar,1S,0.4930555555555556
S14,p2,Kumar,1S,0.4861111111111111
S14,p2,Kumar,1S,0.4930555555555556
S14,p2,Kumar,1S,0.5
S14,p2,Kumar,1S,0.4930555555555556
S14,p2,Kumar,1S,0.4930555555555556
S14,p2,Kumar,1S,0.5138888888888888
S14,p2,Kumar,1S,0.5
S14,p2,Kumar,1S,0.4652777777777778
S14,p2,Kumar,1S,0.4930555555555556
S14,p2,Kumar,0.8S,0.4861111111111111
S14,p2,Kumar,0.8S,0.4791666666666667
S14,p2,Kumar,0.8S,0.4930555555555556
S14,p2,Kumar,0.8S,0.4791666666666667
S14,p2,Kumar,0.8S,0.5
S14,p2,Kumar,0.8S,0.4861111111111111
S14,p2,Kumar,0.8S,0.4444444444444444
S14,p2,Kumar,0.8S,0.4861111111111111
S14,p2,Kumar,0.8S,0.5
S14,p2,Kumar,0.8S,0.4791666666666667
S14,p2,Kumar,0.6S,0.5208333333333334
S14,p2,Kumar,0.6S,0.5
S14,p2,Kumar,0.6S,0.4791666666666667
S14,p2,Kumar,0.6S,0.5069444444444444
S14,p2,Kumar,0.6S,0.5138888888888888
S14,p2,Kumar,0.6S,0.5069444444444444
S14,p2,Kumar,0.6S,0.5208333333333334
S14,p2,Kumar,0.6S,0.5069444444444444
S14,p2,Kumar,0.6S,0.4861111111111111
S14,p2,Kumar,0.6S,0.4722222222222222
S14,p2,Kumar,0.4S,0.4583333333333333
S14,p2,Kumar,0.4S,0.4722222222222222
S14,p2,Kumar,0.4S,0.4791666666666667
S14,p2,Kumar,0.4S,0.4652777777777778
S14,p2,Kumar,0.4S,0.4583333333333333
S14,p2,Kumar,0.4S,0.4444444444444444
