Patient,Position,Method,Decoding TW,Accuracy
S14,p1,Kumar,0.025S,0.3333333333333333
S14,p1,Kumar,0.025S,0.3402777777777778
S14,p1,Kumar,0.025S,0.3333333333333333
S14,p1,Kumar,0.025S,0.3402777777777778
S14,p1,Kumar,0.025S,0.3333333333333333
S14,p1,Kumar,0.025S,0.3333333333333333
S14,p1,Kumar,0.025S,0.3333333333333333
S14,p1,Kumar,0.025S,0.3263888888888889
S14,p1,Kumar,0.025S,0.3472222222222222
S14,p1,Kumar,0.025S,0.3263888888888889
S14,p1,Kumar,0.015S,0.3125
S14,p1,Kumar,0.015S,0.3263888888888889
S14,p1,Kumar,0.015S,0.3402777777777778
S14,p1,Kumar,0.015S,0.3263888888888889
S14,p1,Kumar,0.015S,0.3194444444444444
S14,p1,Kumar,0.015S,0.3194444444444444
S14,p1,Kumar,0.015S,0.3402777777777778
S14,p1,Kumar,0.015S,0.3402777777777778
S14,p1,Kumar,0.015S,0.3472222222222222
S14,p1,Kumar,0.015S,0.3333333333333333
S14,p1,Kumar,0.01S,0.3333333333333333
S14,p1,Kumar,0.01S,0.3333333333333333
S14,p1,Kumar,0.01S,0.3402777777777778
S14,p1,Kumar,0.01S,0.3611111111111111
S14,p1,Kumar,0.01S,0.3472222222222222
S14,p1,Kumar,0.01S,0.3125
S14,p1,Kumar,0.01S,0.3402777777777778
S14,p1,Kumar,0.01S,0.3472222222222222
S14,p1,Kumar,0.01S,0.3541666666666667
S14,p1,Kumar,0.01S,0.3333333333333333
S14,p1,MFA,0.025S,0.27702702702702703
S14,p1,MFA,0.025S,0.28378378378378377
S14,p1,MFA,0.025S,0.28378378378378377
S14,p1,MFA,0.025S,0.27702702702702703
S14,p1,MFA,0.025S,0.2702702702702703
S14,p1,MFA,0.025S,0.27702702702702703
S14,p1,MFA,0.025S,0.27702702702702703
S14,p1,MFA,0.025S,0.2972972972972973
S14,p1,MFA,0.025S,0.28378378378378377
S14,p1,MFA,0.025S,0.2702702702702703
S14,p1,MFA,0.015S,0.27702702702702703
S14,p1,MFA,0.015S,0.30405405405405406
S14,p1,MFA,0.015S,0.2905405405405405
S14,p1,MFA,0.015S,0.27702702702702703
S14,p1,MFA,0.015S,0.28378378378378377
S14,p1,MFA,0.015S,0.2635135135135135
S14,p1,MFA,0.015S,0.23648648648648649
S14,p1,MFA,0.015S,0.25675675675675674
S14,p1,MFA,0.015S,0.2702702702702703
S14,p1,MFA,0.015S,0.3108108108108108
S14,p1,MFA,0.01S,0.27702702702702703
S14,p1,MFA,0.01S,0.25
S14,p1,MFA,0.01S,0.2905405405405405
S14,p1,MFA,0.01S,0.27702702702702703
S14,p1,MFA,0.01S,0.25
S14,p1,MFA,0.01S,0.28378378378378377
S14,p1,MFA,0.01S,0.2905405405405405
S14,p1,MFA,0.01S,0.2972972972972973
S14,p1,MFA,0.01S,0.2905405405405405
S14,p1,MFA,0.01S,0.25675675675675674
S14,p2,Kumar,0.025S,0.2152777777777778
S14,p2,Kumar,0.025S,0.19444444444444445
S14,p2,Kumar,0.025S,0.1875
S14,p2,Kumar,0.025S,0.20833333333333334
S14,p2,Kumar,0.025S,0.1875
S14,p2,Kumar,0.025S,0.1875
S14,p2,Kumar,0.025S,0.2152777777777778
S14,p2,Kumar,0.025S,0.1875
S14,p2,Kumar,0.025S,0.19444444444444445
S14,p2,Kumar,0.025S,0.20833333333333334
S14,p2,Kumar,0.015S,0.20833333333333334
S14,p2,Kumar,0.015S,0.19444444444444445
S14,p2,Kumar,0.015S,0.2013888888888889
S14,p2,Kumar,0.015S,0.20833333333333334
S14,p2,Kumar,0.015S,0.20833333333333334
S14,p2,Kumar,0.015S,0.2152777777777778
S14,p2,Kumar,0.015S,0.20833333333333334
S14,p2,Kumar,0.015S,0.2013888888888889
S14,p2,Kumar,0.015S,0.19444444444444445
S14,p2,Kumar,0.015S,0.20833333333333334
S14,p2,Kumar,0.01S,0.1875
S14,p2,Kumar,0.01S,0.20833333333333334
S14,p2,Kumar,0.01S,0.2152777777777778
S14,p2,Kumar,0.01S,0.20833333333333334
S14,p2,Kumar,0.01S,0.2013888888888889
S14,p2,Kumar,0.01S,0.2222222222222222
S14,p2,Kumar,0.01S,0.20833333333333334
S14,p2,Kumar,0.01S,0.2152777777777778
S14,p2,Kumar,0.01S,0.1875
S14,p2,Kumar,0.01S,0.1875
S14,p2,MFA,0.025S,0.12837837837837837
S14,p2,MFA,0.025S,0.14864864864864866
S14,p2,MFA,0.025S,0.16216216216216217
S14,p2,MFA,0.025S,0.1554054054054054
S14,p2,MFA,0.025S,0.1554054054054054
S14,p2,MFA,0.025S,0.13513513513513514
S14,p2,MFA,0.025S,0.1554054054054054
S14,p2,MFA,0.025S,0.14189189189189189
S14,p2,MFA,0.025S,0.13513513513513514
S14,p2,MFA,0.025S,0.12837837837837837
S14,p2,MFA,0.015S,0.14189189189189189
S14,p2,MFA,0.015S,0.14189189189189189
S14,p2,MFA,0.015S,0.12837837837837837
S14,p2,MFA,0.015S,0.14189189189189189
S14,p2,MFA,0.015S,0.1554054054054054
S14,p2,MFA,0.015S,0.14864864864864866
S14,p2,MFA,0.015S,0.14864864864864866
S14,p2,MFA,0.015S,0.14864864864864866
S14,p2,MFA,0.015S,0.1554054054054054
S14,p2,MFA,0.015S,0.16216216216216217
S14,p2,MFA,0.01S,0.14189189189189189
S14,p2,MFA,0.01S,0.14189189189189189
S14,p2,MFA,0.01S,0.11486486486486487
S14,p2,MFA,0.01S,0.16216216216216217
S14,p2,MFA,0.01S,0.14189189189189189
S14,p2,MFA,0.01S,0.14864864864864866
S14,p2,MFA,0.01S,0.14864864864864866
S14,p2,MFA,0.01S,0.14189189189189189
S14,p2,MFA,0.01S,0.12162162162162163
S14,p2,MFA,0.01S,0.11486486486486487
S14,p3,Kumar,0.025S,0.2847222222222222
S14,p3,Kumar,0.025S,0.2569444444444444
S14,p3,Kumar,0.025S,0.2708333333333333
S14,p3,Kumar,0.025S,0.2986111111111111
S14,p3,Kumar,0.025S,0.2708333333333333
S14,p3,Kumar,0.025S,0.2986111111111111
S14,p3,Kumar,0.025S,0.2986111111111111
S14,p3,Kumar,0.025S,0.2847222222222222
S14,p3,Kumar,0.025S,0.2777777777777778
S14,p3,Kumar,0.025S,0.3125
S14,p3,Kumar,0.015S,0.2916666666666667
S14,p3,Kumar,0.015S,0.2777777777777778
S14,p3,Kumar,0.015S,0.2777777777777778
S14,p3,Kumar,0.015S,0.2847222222222222
S14,p3,Kumar,0.015S,0.2777777777777778
S14,p3,Kumar,0.015S,0.2986111111111111
S14,p3,Kumar,0.015S,0.2569444444444444
S14,p3,Kumar,0.015S,0.2638888888888889
S14,p3,Kumar,0.015S,0.2847222222222222
S14,p3,Kumar,0.015S,0.2847222222222222
S14,p3,Kumar,0.01S,0.2777777777777778
S14,p3,Kumar,0.01S,0.2847222222222222
S14,p3,Kumar,0.01S,0.2986111111111111
S14,p3,Kumar,0.01S,0.3055555555555556
S14,p3,Kumar,0.01S,0.2986111111111111
S14,p3,Kumar,0.01S,0.2986111111111111
S14,p3,Kumar,0.01S,0.2986111111111111
S14,p3,Kumar,0.01S,0.2916666666666667
S14,p3,Kumar,0.01S,0.2916666666666667
S14,p3,Kumar,0.01S,0.2847222222222222
S14,p3,MFA,0.025S,0.18243243243243243
S14,p3,MFA,0.025S,0.17567567567567569
S14,p3,MFA,0.025S,0.18243243243243243
S14,p3,MFA,0.025S,0.20945945945945946
S14,p3,MFA,0.025S,0.18243243243243243
S14,p3,MFA,0.025S,0.1891891891891892
S14,p3,MFA,0.025S,0.20270270270270271
S14,p3,MFA,0.025S,0.17567567567567569
S14,p3,MFA,0.025S,0.1554054054054054
S14,p3,MFA,0.025S,0.19594594594594594
S14,p3,MFA,0.015S,0.18243243243243243
S14,p3,MFA,0.015S,0.20270270270270271
S14,p3,MFA,0.015S,0.1891891891891892
S14,p3,MFA,0.015S,0.18243243243243243
S14,p3,MFA,0.015S,0.20270270270270271
S14,p3,MFA,0.015S,0.19594594594594594
S14,p3,MFA,0.015S,0.18243243243243243
S14,p3,MFA,0.015S,0.20270270270270271
S14,p3,MFA,0.015S,0.20270270270270271
