Patient,Position,Method,Accuracy
S14,p1,Kumar,0.6041666666666666
S14,p1,Kumar,0.5763888888888888
S14,p1,Kumar,0.5833333333333334
S14,p1,Kumar,0.5694444444444444
S14,p1,Kumar,0.5972222222222222
S14,p1,Kumar,0.5763888888888888
S14,p1,Kumar,0.5763888888888888
S14,p1,Kumar,0.5972222222222222
S14,p1,Kumar,0.6041666666666666
S14,p1,Kumar,0.6111111111111112
S14,p1,MFA,0.39864864864864863
S14,p1,MFA,0.40540540540540543
S14,p1,MFA,0.38513513513513514
S14,p1,MFA,0.39864864864864863
S14,p1,MFA,0.3783783783783784
S14,p1,MFA,0.42567567567567566
S14,p1,MFA,0.40540540540540543
S14,p1,MFA,0.38513513513513514
S14,p1,MFA,0.40540540540540543
S14,p1,MFA,0.3716216216216216
S14,p2,Kumar,0.4861111111111111
S14,p2,Kumar,0.5069444444444444
S14,p2,Kumar,0.5138888888888888
S14,p2,Kumar,0.4652777777777778
S14,p2,Kumar,0.4861111111111111
S14,p2,Kumar,0.5
S14,p2,Kumar,0.5
S14,p2,Kumar,0.4652777777777778
S14,p2,Kumar,0.5
S14,p2,Kumar,0.4861111111111111
S14,p2,MFA,0.39864864864864863
S14,p2,MFA,0.38513513513513514
S14,p2,MFA,0.3716216216216216
S14,p2,MFA,0.3783783783783784
S14,p2,MFA,0.38513513513513514
S14,p2,MFA,0.39864864864864863
S14,p2,MFA,0.3918918918918919
S14,p2,MFA,0.40540540540540543
S14,p2,MFA,0.39864864864864863
S14,p2,MFA,0.39864864864864863
S14,p3,Kumar,0.4652777777777778
S14,p3,Kumar,0.4722222222222222
S14,p3,Kumar,0.4722222222222222
S14,p3,Kumar,0.4583333333333333
S14,p3,Kumar,0.4722222222222222
S14,p3,Kumar,0.4444444444444444
S14,p3,Kumar,0.4583333333333333
S14,p3,Kumar,0.4375
S14,p3,Kumar,0.4791666666666667
S14,p3,Kumar,0.4444444444444444
S14,p3,MFA,0.3108108108108108
S14,p3,MFA,0.33783783783783783
S14,p3,MFA,0.32432432432432434
S14,p3,MFA,0.36486486486486486
S14,p3,MFA,0.33783783783783783
S14,p3,MFA,0.35135135135135137
S14,p3,MFA,0.31756756756756754
S14,p3,MFA,0.3108108108108108
S14,p3,MFA,0.35135135135135137
S14,p3,MFA,0.35135135135135137
S22,p1,Kumar,0.18543046357615894
S22,p1,Kumar,0.17218543046357615
S22,p1,Kumar,0.18543046357615894
S22,p1,Kumar,0.18543046357615894
S22,p1,Kumar,0.13245033112582782
S22,p1,Kumar,0.18543046357615894
S22,p1,Kumar,0.1456953642384106
S22,p1,Kumar,0.1390728476821192
S22,p1,Kumar,0.18543046357615894
S22,p1,Kumar,0.1456953642384106
S22,p1,MFA,0.21052631578947367
S22,p1,MFA,0.2236842105263158
S22,p1,MFA,0.20394736842105263
S22,p1,MFA,0.21052631578947367
S22,p1,MFA,0.19078947368421054
S22,p1,MFA,0.21710526315789475
S22,p1,MFA,0.19078947368421054
S22,p1,MFA,0.2236842105263158
S22,p1,MFA,0.18421052631578946
S22,p1,MFA,0.25
S22,p2,Kumar,0.33112582781456956
S22,p2,Kumar,0.31788079470198677
S22,p2,Kumar,0.33112582781456956
S22,p2,Kumar,0.304635761589404
S22,p2,Kumar,0.33112582781456956
S22,p2,Kumar,0.31125827814569534
S22,p2,Kumar,0.36423841059602646
