Patient,Method,Score_Type,Iteration,Value
S22,Kumar,Silhouette_Score_PhonChance,1,0.18451151
S22,Kumar,Silhouette_Score_PhonChance,2,0.06494308
S22,Kumar,Silhouette_Score_PhonChance,3,0.032853004
S22,Kumar,Silhouette_Score_PhonChance,4,0.08305944
S22,Kumar,Silhouette_Score_PhonChance,5,0.053098988
S22,Kumar,Silhouette_Score_PhonChance,6,0.035244174
S22,Kumar,Silhouette_Score_PhonChance,7,0.15800743
S22,Kumar,Silhouette_Score_PhonChance,8,0.046698965
S22,Kumar,Silhouette_Score_PhonChance,9,0.04176715
S22,Kumar,Silhouette_Score_PhonChance,10,0.08347812
S22,Kumar,Silhouette_Score_PhonChance,11,0.061660986
S22,Kumar,Silhouette_Score_PhonChance,12,0.112454996
S22,Kumar,Silhouette_Score_PhonChance,13,0.08756184
S22,Kumar,Silhouette_Score_PhonChance,14,0.04777422
S22,Kumar,Silhouette_Score_PhonChance,15,0.064367495
S22,Kumar,Silhouette_Score_PhonChance,16,0.12548462
S22,Kumar,Silhouette_Score_PhonChance,17,0.014961848
S22,Kumar,Silhouette_Score_PhonChance,18,0.06450854
S22,Kumar,Silhouette_Score_PhonChance,19,0.12425019
S22,Kumar,Silhouette_Score_PhonChance,20,0.10291443
S22,Kumar,Silhouette_Score_PhonChance,21,0.21026143
S22,Kumar,Silhouette_Score_PhonChance,22,0.044745825
S22,Kumar,Silhouette_Score_PhonChance,23,0.07645327
S22,Kumar,Silhouette_Score_PhonChance,24,0.0645465
S22,Kumar,Silhouette_Score_PhonChance,25,0.05517502
S22,Kumar,Silhouette_Score_PhonChance,26,0.061824623
S22,Kumar,Silhouette_Score_PhonChance,27,0.035829328
S22,Kumar,Silhouette_Score_PhonChance,28,0.09951686
S22,Kumar,Silhouette_Score_PhonChance,29,0.065858394
S22,Kumar,Silhouette_Score_PhonChance,30,0.13916753
S22,Kumar,Silhouette_Score_PhonChance,31,0.0635364
S22,Kumar,Silhouette_Score_PhonChance,32,0.13456832
S22,Kumar,Silhouette_Score_PhonChance,33,0.032892853
S22,Kumar,Silhouette_Score_PhonChance,34,0.010445956
S22,Kumar,Silhouette_Score_PhonChance,35,0.059278466
S22,Kumar,Silhouette_Score_PhonChance,36,0.13138136
S22,Kumar,Silhouette_Score_PhonChance,37,0.08118411
S22,Kumar,Silhouette_Score_PhonChance,38,0.042017736
S22,Kumar,Silhouette_Score_PhonChance,39,0.07939443
S22,Kumar,Silhouette_Score_PhonChance,40,0.036777966
S22,Kumar,Silhouette_Score_PhonChance,41,0.032381885
S22,Kumar,Silhouette_Score_PhonChance,42,0.032062724
S22,Kumar,Silhouette_Score_PhonChance,43,0.022156084
S22,Kumar,Silhouette_Score_PhonChance,44,0.04463395
S22,Kumar,Silhouette_Score_PhonChance,45,0.050582934
S22,Kumar,Silhouette_Score_PhonChance,46,0.04228942
S22,Kumar,Silhouette_Score_PhonChance,47,0.10330045
S22,Kumar,Silhouette_Score_PhonChance,48,0.04988377
S22,Kumar,Silhouette_Score_PhonChance,49,0.08395907
S22,Kumar,Silhouette_Score_PhonChance,50,0.062394746
S22,Kumar,Silhoutte_Score_Phon,1,0.0480847
S22,Kumar,Silhoutte_Score_Phon,2,0.06806414
S22,Kumar,Silhoutte_Score_Phon,3,0.06169118
S22,Kumar,Silhoutte_Score_Phon,4,0.06088992
S22,Kumar,Silhoutte_Score_Phon,5,0.057031363
S22,Kumar,Silhoutte_Score_Phon,6,0.051711425
S22,Kumar,Silhoutte_Score_Phon,7,0.058996346
S22,Kumar,Silhoutte_Score_Phon,8,0.05937376
S22,Kumar,Silhoutte_Score_Phon,9,0.06572178
S22,Kumar,Silhoutte_Score_Phon,10,0.03701485
S22,Kumar,Silhoutte_Score_Phon,11,0.06082777
S22,Kumar,Silhoutte_Score_Phon,12,0.060609236
S22,Kumar,Silhoutte_Score_Phon,13,0.046368897
S22,Kumar,Silhoutte_Score_Phon,14,0.043654874
S22,Kumar,Silhoutte_Score_Phon,15,0.056926377
S22,Kumar,Silhoutte_Score_Phon,16,0.043346383
S22,Kumar,Silhoutte_Score_Phon,17,0.026225049
S22,Kumar,Silhoutte_Score_Phon,18,0.069155276
S22,Kumar,Silhoutte_Score_Phon,19,0.037351377
S22,Kumar,Silhoutte_Score_Phon,20,0.064903766
S22,Kumar,Silhoutte_Score_Phon,21,0.049531262
S22,Kumar,Silhoutte_Score_Phon,22,0.048809987
